image_id,attractive,blurry_image,sharp_jawline,high_cheekbones,smiling,bald,receeding_hairline,long_hair,curly_hair,grey_hair,black_hair,has_beard,patchy_beard,has_mustache,well_groomed,has_makeup,wearing_glasses,wearing_hat,clear_skin,dark_circles,oily_skin,thick_eyebrow,big_eyes,big_lips,sharp_nose,adult,old,mouth_open,male,double_chin,veil,wrinkle,chubby,llama_prompt,mistral_prompt
00001.jpg,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,"The man's face was a warm and welcoming sight, with his high cheekbones accentuated by a bright, cheerful smile that spread across his chubby features, which were framed by a well-groomed beard and mustache, and topped with a hat that cast a subtle shadow over the gentle wrinkles that etched his skin.","The man's face was a warm and jovial sight, with a gentle smile spreading across his chubby cheeks, which were accentuated by high cheekbones, and framed by a well-groomed beard and mustache, all of which was topped off by a hat, while a latticework of wrinkles etched into his skin added a sense of character and age."
00002.jpg,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,"Her face is truly captivating, with high cheekbones that accentuate her bright, smiling features, although the dark circles under her eyes hint at a lack of sleep, and as she laughs with her mouth open, her thick eyebrows frame her clear, flawless skin, making her an undeniably attractive woman.","The woman's face, framed by her thick, well-groomed black hair and accentuated by her high cheekbones, has a smooth, clear complexion with a subtle sheen from her makeup, although the dark circles under her eyes are visible, and her thick eyebrows are slightly raised as her mouth hangs open in a natural, effortless expression."
00003.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,"The man's face, framed by his well-groomed black hair and a stylish hat, presents a striking image with his distinctive mustache, smooth clear skin, and an air of slight fatigue evident in the dark circles under his eyes, as his mouth hangs open in a relaxed expression.","The man's face, framed by a well-groomed mustache and topped with a hat, presents a striking image with his clear skin and dark hair, though his features are somewhat subdued by the dark circles under his eyes, which seem even more pronounced as he sits with his mouth open, lost in thought."
00004.jpg,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Her face was a stunning combination of sharp angles and soft curves, with a beautifully defined jawline, luscious lips, and expressive brows that framed her bright features, although the dark circles under her eyes hinted at a lack of sleep, and her long hair cascaded down her neck, complementing her clear and radiant complexion.","Her face is a stunning combination of features, with full, luscious lips and thick, expressive eyebrows framing her bright, clear complexion, though faint dark circles under her eyes hint at a busy life, all of which is beautifully offset by her long, glossy black hair that cascades down her back in perfect, well-groomed waves."
00005.jpg,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,"The man's face was rounded and chubby, with a thick beard and mustache framing his features, his black hair receding slightly, and a sheen of oil on his skin, which was etched with wrinkles, particularly around his mouth, which was now open in a relaxed expression.","The man's face was a picture of relaxed joviality, with his black hair framing a chubby complexion that was slightly shiny due to oily skin, while his open mouth revealed a glimpse of his teeth, and a beard and mustache added a touch of ruggedness to his features, which were etched with a map of wrinkles that spoke to a life well-lived."
00006.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,"Her face, slightly soft-focused as if captured in a gentle haze, is framed by a veil that drapes delicately around her features, which are rounded and full, with a subtle smudge of darkness beneath her eyes and a tumble of dark hair that falls around her.","The woman's face appears softly focused, with her dark hair framing a gently rounded, slightly chubby complexion, and though a veil partially conceals her features, the dark circles under her eyes are still visible, lending an air of subtle fatigue to her overall expression."
00007.jpg,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Her face is a stunning vision of warmth and beauty, with a bright, genuine smile that illuminates her clear, porcelain-like skin, which is perfectly framed by her long, luscious hair and accentuated by the elegant curves of her high cheekbones, all of which come together to create a truly captivating and attractive presence.","Her face is truly captivating, with a bright and genuine smile that accentuates her big, expressive eyes, set off by her striking features, including thick, well-defined eyebrows, and a sleek frame of long, black hair that complements her smooth, clear skin."
00008.jpg,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,"Her face is a stunning vision, with a sharp jawline and high cheekbones that accentuate her bright, beaming smile, set off by her big, expressive eyes and framed by a cascade of long, black hair that falls around her heart-shaped face, which, despite a slightly oily sheen to her skin, radiates a warm and attractive glow.","Her face was a stunning vision, with high cheekbones that accentuated her sharp jawline, a mouth that was slightly ajar, revealing a glimpse of her teeth, and big, captivating eyes that sparkled despite the subtle darkness under them, all of which was enhanced by her flawless makeup and clear skin."
00009.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,"The man's face was gaunt and weary, with a subtle sheen to his skin and a noticeable darkness under his eyes, his mouth hanging slightly open as if frozen in a state of perpetual exhaustion.","The man's face appears somewhat worn, with his black hair framing a complexion that's visibly oily, and the dark circles under his eyes are pronounced as he sits with his mouth slightly agape."
00010.jpg,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Her face is truly stunning, with high cheekbones that accentuate her bright smile, which is currently frozen in a warm, inviting expression, her black hair framing her clear, radiant skin as she laughs with her mouth open, showcasing a glimpse of her pearly whites.","The woman's face was a vision of warmth and beauty, with her high cheekbones accentuating a bright, sunny smile that spread across her face, framed by a tumble of black hair and set against a backdrop of clear, radiant skin, as her mouth curved open in a joyful expression."
